miasto,n,mediana,srednia
NIEZNANY,66744,180000.0,210996.79239227498
BYDGOSZCZ,56337,299500.0,312385.507146813
TORUŃ,32887,360000.0,365498.85283181805
M. GRUDZIĄDZ,6431,184000.0,212421.37193438035
ŚWIECIE,3750,210000.0,209191.01140533332
INOWROCŁAW,1608,229148.0,256085.4938681592
CHEŁMNO,1488,184500.0,209683.14105510752
NIEMCZ,1448,474577.7,446430.464019337
TUCHOLA,1310,180000.0,191882.51926717558
GRUDZIĄDZ,1291,281426.0,296412.4988613478
SZUBIN,1272,229490.0,257331.57979559747
GOLUB-DOBRZYŃ,1241,252519.0,249638.31313456892
OSIELSKO,1169,456796.2,430479.95203592815
CHEŁMŻA,1161,147600.0,158518.1226184324
NAKŁO NAD NOTECIĄ,981,230000.0,242287.0363302752
BRONIEWICE,919,265900.0,292742.8630250272
KORONOWO,815,224000.0,240047.44404907976
JANIKOWO,802,160000.0,168561.37123441396
SOLEC KUJAWSKI,746,238795.0,267560.53611260053
MOGILNO,722,218722.0,233556.91897506925
KRUSZWICA,698,275000.0,281770.4871060172
ŻNIN,626,237991.44,253754.45215654955
PADNIEWKO,446,235000.0,240361.8116591928
STRZELNO,409,85000.0,136582.01567237164
PRĄDOCIN,379,287000.0,302307.1835883905
NOWE,350,175000.0,203889.80997142856
WIĘCBORK,349,150000.0,174057.9545845272
SĘPÓLNO KRAJEŃSKIE,324,233619.0,243893.87228395062
KOWALEWO POMORSKIE,324,209924.0,217823.10111111111
PAKOŚĆ,315,208000.0,213815.3215873016
GNIEWKOWO,283,234702.0,238155.75547703178
CZERNIKOWO,276,257917.0,292276.4867028985
BARCIN,273,230000.0,236665.43153846153
ŁASIN,273,120000.0,185514.8901098901
ŁABISZYN,268,239500.0,258983.09701492538
BIAŁE BŁOTA,227,449000.0,411337.956475771
LUBICZ GÓRNY,227,252500.0,253524.28656387664
ŁOCHOWO,193,600000.0,572579.0429533679
GŁOGOWO,191,275000.0,336265.6565445026
BRZOZÓWKA,190,350000.0,378672.06315789477
RADZYŃ CHEŁMIŃSKI,175,90000.0,167323.7142857143
ŻNIN-WIEŚ,173,237000.0,262215.7396531792
UNISŁAW,162,185000.0,217111.23049382717
MAKSYMILIANOWO,152,353250.0,342122.09
ŻOŁĘDOWO,137,575000.0,493884.5246715328
KCYNIA,135,180000.0,197384.95074074075
ŚWIERKOCIN,130,335000.0,336240.93076923076
LUBICZ DOLNY,128,230000.0,243384.048828125
CZARNOWO,127,360000.0,354713.6581889764
ZIELONKA,127,450000.0,461756.08472440945
GÓRSK,123,240000.0,317553.62772357726
PRZYŁĘKI,110,605000.0,577893.0474545454
OSIE,109,239067.0,227514.83211009172
OSIEK NAD WISŁĄ,101,335000.0,380607.1287128713
NOWA WIEŚ,100,515000.0,461702.4
BRONISŁAW,96,24055.5,26864.802083333332
ZŁOTNIKI KUJAWSKIE,96,187000.0,256821.92708333334
ZEGARTOWICE,93,125000.0,107021.97311827957
GRUPA PLAC,92,165000.0,159086.2070652174
STARY TORUŃ,91,694900.0,665219.1403296704
MYŚLĘCINEK,88,432658.0,433928.54920454544
CEKCYN,85,210000.0,250431.3254117647
JANOWIEC WIELKOPOLSKI,84,170000.0,211905.97619047618
KAMIEŃ KRAJEŃSKI,83,203000.0,224235.5596385542
ROZGARTY,83,500000.0,504512.8674698795
SULNÓWKO,83,240000.0,235715.23602409638
LISEWO,83,150000.0,181880.93759036146
MUROWANIEC,83,515000.0,500609.6506024096
NIWY,82,613000.0,547685.3658536585
OSÓWIEC,78,380000.0,357666.6666666667
LASKOWICE,78,145750.0,195833.35897435897
BRZOZA,78,435000.0,415287.1794871795
MROCZA,77,200000.0,228092.64
CEKCYNEK,74,275000.0,299483.7837837838
SMOLNIKI,74,357477.0,382502.3783783784
JAGODOWO,72,550500.0,563646.7511111111
PRUSZCZ,69,199000.0,248537.6811594203
POTULICE,68,140000.0,160083.63029411764
DOBRCZ,67,485000.0,449589.552238806
TUCZNO,66,235000.0,265655.75606060604
KROBIA,64,459561.5,471049.0
ROGOWO,64,277500.0,316104.26625
NOWE DĄBIE,64,180000.0,207195.5234375
TUR,64,155000.0,189817.1875
WARSZEWICE,62,200000.0,198217.74193548388
CIELE,60,514500.0,491895.75866666663
ŚLESIN,59,165000.0,220383.08474576272
DĄBROWA CHEŁMIŃSKA,57,230000.0,315004.3859649123
OBROWO,57,520000.0,474720.2789473684
MAŁA NIESZAWKA,57,425000.0,428950.3157894737
PIECHCIN,57,110000.0,126274.87157894736
NOWA WIEŚ WIELKA,55,400000.0,402500.9090909091
PODWIESK,55,160000.0,191114.54545454544
BORÓWNO,54,242000.0,296411.1111111111
KRUSZYN KRAJEŃSKI,53,540000.0,500744.9028301887
ŁOCHOWICE,52,535000.0,528798.6498076923
PATEREK,51,300000.0,317571.0588235294
CEPNO,51,120000.0,130121.56862745098
WYSTĘP,51,164092.3,254002.89411764705
WITUNIA,48,155500.0,199687.5
SADKI,48,250000.0,299659.875
MOKRE,47,310000.0,349062.7659574468
ZŁOTORIA,46,520000.0,490522.14130434784
ŁUBIANKA,45,500000.0,484031.7555555556
GRÓDEK,45,140000.0,178947.55555555556
STAROGRÓD,45,70000.0,116233.77777777778
RYNARZEWO,45,372500.0,375649.74888888886
ŁYSOMICE,45,380000.0,391018.46222222224
LISI OGON,45,490000.0,491884.15644444444
SILNO,45,535000.0,540383.6666666666
KOŃCZEWICE,44,41466.7,120558.0
ZŁAWIEŚ MAŁA,44,300125.0,369587.5
WARLUBIE,43,120000.0,161583.48023255815
BARCIN-WIEŚ,43,250000.0,312048.0232558139
DĄBRÓWKA,43,170000.0,206058.13953488372
TRZCINIEC,43,265672.75,248990.7027906977
PAPOWO TORUŃSKIE,42,512000.0,494357.14285714284
WOLICE,41,384999.0,389379.15853658534
JANIA GÓRA,40,110000.0,144687.5
STRZELEWO,40,165000.0,188387.5
CZARNE BŁOTO,40,500000.0,478853.075
MURCZYN,39,181500.0,186671.07692307694
ZAMOŚĆ,39,400000.0,427167.8205128205
GĄSAWA,39,150000.0,181355.61538461538
KIJEWO KRÓLEWSKIE,39,140000.0,157900.0
SICIENKO,39,305000.0,367958.25641025644
BUKOWIEC,38,143000.0,200798.26315789475
PIASECZNO,38,270450.0,290191.7368421053
SZEMBEKOWO,38,537000.0,464315.8157894737
GOSTKOWO,37,348123.0,370333.0
NAPOLE,37,235000.0,202229.72972972973
ZALESIE,36,137500.0,174519.44444444444
JEŻEWO,36,235000.0,240391.33333333334
TOPORZYSKO,36,611500.0,527251.4444444445
KLAMRY,36,359000.0,393180.55555555556
KRUSIN,36,105000.0,99344.44444444444
GRUTA,36,131000.0,149344.4688888889
LISNOWO,36,112500.0,134125.0
GRĘBOCIN,35,470000.0,478707.336
BYSŁAW,34,197500.0,264348.32823529415
KOZŁOWO,33,438000.0,338640.1515151515
TERESPOL POMORSKI,33,135000.0,185741.84848484848
KOBYLNIKI,33,150000.0,161473.63636363635
OJRZANOWO,33,380000.0,368534.54545454547
MAŁY RUDNIK,33,465000.0,484060.6060606061
ROJEWO,32,280000.0,306264.875
ZAWAŁY,32,218500.0,300281.25
KOTOMIERZ,32,212500.0,296093.75
MIRADZ,32,136500.0,133228.58125
WIELOWIEŚ,31,200000.0,243814.51612903227
OSTROWO,31,34419.0,127624.29000000001
TRYSZCZYN,31,165000.0,239468.70967741936
PAPOWO BISKUPIE,31,90000.0,149851.25806451612
ZŁOTNIKI,31,133000.0,137532.25806451612
KOLNO,30,200000.0,171500.0
STEKLIN,30,150000.0,184933.33333333334
PNIEWITE,30,185000.0,161156.66666666666
BIAŁY BÓR,29,442500.0,429945.2586206897
PRZYSIEK,29,270000.0,341282.7586206897
DUBIELNO,29,102960.0,161579.3103448276
KĘSOWO,29,200000.0,254149.33103448275
LIPIENEK,29,57000.0,66724.13793103448
CEREKWICA,28,131000.0,132225.0
NOWE DOBRA,28,265000.0,354053.5714285714
GRABOWIEC,28,389000.0,374071.4285714286
ZAŁACHOWO,28,352000.0,363375.0
MĄKOWARSKO,27,103000.0,117537.03703703704
STRONNO,27,355000.0,365697.77777777775
SŁOŃSKO,27,390000.0,388787.037037037
OSTROMECKO,27,390000.0,354518.51851851854
GOSTYCYN,27,208000.0,213074.07407407407
PODGÓRZYN,27,350000.0,311288.51851851854
SOŚNO,27,150000.0,141740.74074074073
WILCZE,27,187000.0,351555.55555555556
JASZCZÓŁTOWO,26,284535.0,283067.1153846154
TUPADŁY,26,215000.0,234326.92307692306
OSINY,25,21000.0,66896.0
PIGŻA,25,170000.0,298720.0
ŚWIECIE N/OSĄ,25,55000.0,80272.48
KAWĘCZYN,25,370000.0,387820.0
SYPNIEWO,25,165000.0,229534.4
MARCINKOWO,25,300000.0,322192.0
NOWY DWÓR,24,80000.0,150502.08333333334
KOWALEWO,24,270000.0,299785.4166666667
WOJNOWO,24,165000.0,156818.83333333334
CIERPICE,24,250000.0,326827.36125
LULKOWO,24,508000.0,470723.8125
FIRLUS,23,250000.0,221086.95652173914
WABCZ,23,145000.0,144478.26086956522
PĘCHOWO,23,140000.0,211473.91304347827
RACINIEWO,23,150000.0,138260.86956521738
PRZYŁUBIE,23,160000.0,188434.78260869565
STOLNO,23,145000.0,197934.78260869565
GNOJNO,23,300000.0,346522.6956521739
